Process #0
Mode 3 with 8 threads executed in 806 microseconds for 500 particles.
Process #1
Mode 3 with 8 threads executed in 669 microseconds for 500 particles.
Process #2
Mode 3 with 8 threads executed in 1204 microseconds for 500 particles.
Process #3
Mode 3 with 8 threads executed in 611 microseconds for 500 particles.
Process #4
Mode 3 with 8 threads executed in 933 microseconds for 500 particles.
Process #5
Mode 3 with 8 threads executed in 828 microseconds for 500 particles.
Process #6
Mode 3 with 8 threads executed in 760 microseconds for 500 particles.
Process #7
Mode 3 with 8 threads executed in 462 microseconds for 500 particles.
 Particle 0 x = 7, y = 5, force = 4.60288e-09
 Particle 1 x = 6, y = 3, force = 2.30144e-08
 Particle 2 x = 5, y = 3, force = 2.30144e-08
 Particle 3 x = 2, y = 2, force = 1.15072e-08
 Particle 4 x = 3, y = 3, force = 1.15072e-08
 Particle 5 x = 4, y = 5, force = 4.60288e-09
 Particle 6 x = 4, y = 8, force = 1.15072e-08
 Particle 7 x = 5, y = 9, force = 1.15072e-08
 Particle 8 x = 6, y = 11, force = 4.60288e-09
 Particle 9 x = 11, y = 4, force = 4.60288e-09
 Particle 10 x = 12, y = 6, force = 1.15072e-08
 Particle 11 x = 13, y = 7, force = 1.15072e-08
 Particle 12 x = 10, y = 13, force = 2.8768e-09
 Particle 13 x = 8, y = 15, force = 2.30144e-08
 Particle 14 x = 8, y = 16, force = 2.30144e-08
 Particle 15 x = 11, y = 14, force = 2.30144e-09
 Particle 16 x = 14, y = 13, force = 1.15072e-08
 Particle 17 x = 13, y = 12, force = 1.15072e-08
 Particle 18 x = 27, y = 25, force = 4.60288e-09
 Particle 19 x = 26, y = 23, force = 2.30144e-08
 Particle 20 x = 25, y = 23, force = 2.30144e-08
 Particle 21 x = 22, y = 22, force = 1.15072e-08
 Particle 22 x = 23, y = 23, force = 1.15072e-08
 Particle 23 x = 24, y = 25, force = 4.60288e-09
 Particle 24 x = 24, y = 28, force = 1.15072e-08
 Particle 25 x = 25, y = 29, force = 1.15072e-08
 Particle 26 x = 26, y = 31, force = 4.60288e-09
 Particle 27 x = 31, y = 24, force = 4.60288e-09
 Particle 28 x = 32, y = 26, force = 1.15072e-08
 Particle 29 x = 33, y = 27, force = 1.15072e-08
 Particle 30 x = 30, y = 33, force = 2.8768e-09
 Particle 31 x = 28, y = 35, force = 2.30144e-08
 Particle 32 x = 28, y = 36, force = 2.30144e-08
 Particle 33 x = 31, y = 34, force = 2.30144e-09
 Particle 34 x = 34, y = 33, force = 1.15072e-08
 Particle 35 x = 33, y = 32, force = 1.15072e-08
 Particle 36 x = 47, y = 45, force = 4.60288e-09
 Particle 37 x = 46, y = 43, force = 2.30144e-08
 Particle 38 x = 45, y = 43, force = 2.30144e-08
 Particle 39 x = 42, y = 42, force = 1.15072e-08
 Particle 40 x = 43, y = 43, force = 1.15072e-08
 Particle 41 x = 44, y = 45, force = 4.60288e-09
 Particle 42 x = 44, y = 48, force = 1.15072e-08
 Particle 43 x = 45, y = 49, force = 1.15072e-08
 Particle 44 x = 46, y = 51, force = 4.60288e-09
 Particle 45 x = 51, y = 44, force = 4.60288e-09
 Particle 46 x = 52, y = 46, force = 1.15072e-08
 Particle 47 x = 53, y = 47, force = 1.15072e-08
 Particle 48 x = 50, y = 53, force = 2.8768e-09
 Particle 49 x = 48, y = 55, force = 2.30144e-08
 Particle 50 x = 48, y = 56, force = 2.30144e-08
 Particle 51 x = 51, y = 54, force = 2.30144e-09
 Particle 52 x = 54, y = 53, force = 1.15072e-08
 Particle 53 x = 53, y = 52, force = 1.15072e-08
 Particle 54 x = 67, y = 65, force = 4.60288e-09
 Particle 55 x = 66, y = 63, force = 2.30144e-08
 Particle 56 x = 65, y = 63, force = 2.30144e-08
 Particle 57 x = 62, y = 62, force = 1.15072e-08
 Particle 58 x = 63, y = 63, force = 1.15072e-08
 Particle 59 x = 64, y = 65, force = 4.60288e-09
 Particle 60 x = 64, y = 68, force = 1.15072e-08
 Particle 61 x = 65, y = 69, force = 1.15072e-08
 Particle 62 x = 66, y = 71, force = 4.60288e-09
 Particle 63 x = 71, y = 64, force = 4.60288e-09
 Particle 64 x = 72, y = 66, force = 1.15072e-08
 Particle 65 x = 73, y = 67, force = 1.15072e-08
 Particle 66 x = 70, y = 73, force = 2.8768e-09
 Particle 67 x = 68, y = 75, force = 2.30144e-08
 Particle 68 x = 68, y = 76, force = 2.30144e-08
 Particle 69 x = 71, y = 74, force = 2.30144e-09
 Particle 70 x = 74, y = 73, force = 1.15072e-08
 Particle 71 x = 73, y = 72, force = 1.15072e-08
 Particle 72 x = 87, y = 85, force = 4.60288e-09
 Particle 73 x = 86, y = 83, force = 2.30144e-08
 Particle 74 x = 85, y = 83, force = 2.30144e-08
 Particle 75 x = 82, y = 82, force = 1.15072e-08
 Particle 76 x = 83, y = 83, force = 1.15072e-08
 Particle 77 x = 84, y = 85, force = 4.60288e-09
 Particle 78 x = 84, y = 88, force = 1.15072e-08
 Particle 79 x = 85, y = 89, force = 1.15072e-08
 Particle 80 x = 86, y = 91, force = 4.60288e-09
 Particle 81 x = 91, y = 84, force = 4.60288e-09
 Particle 82 x = 92, y = 86, force = 1.15072e-08
 Particle 83 x = 93, y = 87, force = 1.15072e-08
 Particle 84 x = 90, y = 93, force = 2.8768e-09
 Particle 85 x = 88, y = 95, force = 2.30144e-08
 Particle 86 x = 88, y = 96, force = 2.30144e-08
 Particle 87 x = 91, y = 94, force = 2.30144e-09
 Particle 88 x = 94, y = 93, force = 1.15072e-08
 Particle 89 x = 93, y = 92, force = 1.15072e-08
 Particle 90 x = 107, y = 105, force = 4.60288e-09
 Particle 91 x = 106, y = 103, force = 2.30144e-08
 Particle 92 x = 105, y = 103, force = 2.30144e-08
 Particle 93 x = 102, y = 102, force = 1.15072e-08
 Particle 94 x = 103, y = 103, force = 1.15072e-08
 Particle 95 x = 104, y = 105, force = 4.60288e-09
 Particle 96 x = 104, y = 108, force = 1.15072e-08
 Particle 97 x = 105, y = 109, force = 1.15072e-08
 Particle 98 x = 106, y = 111, force = 4.60288e-09
